netname, npin, nvia, nwire, ntj, manhattan, routed, ratio, extra
Net-(U15-Pad10), 2, 0, 1, 0, 0.050, 0.086, 1.713, 0.036
Net-(R38-Pad1), 2, 0, 1, 0, 0.138, 0.138, 1.000, 0.000
P39, 2, 1, 2, 0, 0.189, 0.188, 0.996, -0.001
Net-(U28-Pad9), 2, 0, 1, 0, 0.280, 0.280, 0.999, -0.000
Net-(R31-Pad2), 2, 2, 3, 0, 0.286, 0.252, 0.879, -0.035
Net-(R37-Pad1), 2, 0, 1, 0, 0.336, 0.362, 1.077, 0.026
6_A9, 2, 0, 1, 0, 0.392, 0.374, 0.953, -0.019
Net-(C17-Pad1), 2, 1, 2, 0, 0.406, 0.827, 2.037, 0.421
Z_~UDS, 2, 2, 3, 0, 0.420, 0.398, 0.949, -0.022
6_A8, 2, 0, 1, 0, 0.479, 0.494, 1.032, 0.016
6_A11, 2, 0, 1, 0, 0.492, 0.415, 0.843, -0.077
Net-(R15-Pad2), 2, 1, 2, 0, 0.514, 0.382, 0.743, -0.132
6_A10, 2, 0, 1, 0, 0.542, 0.529, 0.975, -0.013
P56, 2, 1, 2, 0, 0.584, 0.569, 0.974, -0.015
P38, 2, 1, 2, 0, 0.620, 0.556, 0.896, -0.065
Net-(R36-Pad1), 2, 0, 1, 0, 0.656, 0.641, 0.977, -0.015
Net-(R32-Pad2), 2, 2, 3, 0, 0.676, 0.589, 0.871, -0.087
Z_~AS, 2, 0, 1, 0, 0.733, 0.622, 0.848, -0.112
Z_~LDS, 2, 1, 2, 0, 0.783, 0.757, 0.966, -0.027
6_A12, 2, 1, 2, 0, 0.864, 1.139, 1.318, 0.275
P24, 2, 1, 2, 0, 0.877, 0.828, 0.944, -0.049
6_A13, 2, 1, 2, 0, 0.900, 0.802, 0.891, -0.098
Z_~DTACK, 3, 1, 3, 0, 0.970, 0.993, 1.024, 0.023
Net-(R35-Pad1), 2, 0, 1, 0, 1.043, 1.008, 0.967, -0.034
M_~BG, 3, 3, 5, 0, 1.047, 0.933, 0.891, -0.115
6_A2, 2, 2, 3, 0, 1.088, 1.025, 0.942, -0.063
6_A14, 2, 1, 2, 0, 1.101, 1.127, 1.024, 0.026
Z_~VMA, 2, 0, 1, 0, 1.105, 1.052, 0.952, -0.053
Z_FC0, 2, 0, 1, 0, 1.105, 1.046, 0.947, -0.059
Z_FC2, 2, 1, 2, 0, 1.105, 1.178, 1.067, 0.074
Z_E, 2, 0, 1, 0, 1.105, 1.114, 1.008, 0.009
Z_~HALT, 2, 0, 1, 0, 1.105, 1.006, 0.911, -0.099
Z_~BERR, 2, 1, 2, 0, 1.105, 1.148, 1.039, 0.043
M_~BGACK, 2, 2, 3, 0, 1.119, 1.295, 1.157, 0.176
P67, 2, 1, 2, 0, 1.130, 1.469, 1.300, 0.339
6_A15, 2, 1, 2, 0, 1.151, 1.023, 0.889, -0.128
6_A0, 2, 3, 4, 0, 1.216, 1.138, 0.936, -0.078
Net-(R33-Pad2), 2, 2, 3, 0, 1.224, 1.119, 0.914, -0.105
6_A1, 2, 2, 3, 0, 1.352, 1.255, 0.928, -0.097
M_~BR, 2, 2, 3, 0, 1.373, 1.350, 0.983, -0.023
6_A3, 2, 2, 3, 0, 1.393, 1.299, 0.933, -0.094
Net-(R33-Pad1), 5, 0, 4, 0, 1.481, 1.586, 1.070, 0.104
6_A18, 2, 0, 1, 0, 1.710, 1.704, 0.996, -0.006
6_A17, 2, 0, 1, 0, 1.710, 1.685, 0.986, -0.025
6_INTR, 2, 1, 2, 0, 1.800, 1.920, 1.067, 0.120
6_A4, 2, 3, 4, 0, 1.810, 1.732, 0.957, -0.077
Net-(R32-Pad1), 5, 0, 4, 0, 1.838, 1.899, 1.033, 0.060
P47, 2, 2, 3, 0, 1.869, 1.852, 0.991, -0.018
6_A5, 2, 1, 2, 0, 1.884, 1.801, 0.956, -0.082
Net-(R39-Pad1), 2, 2, 3, 0, 1.930, 2.050, 1.062, 0.120
Z_~BG, 2, 3, 4, 0, 1.962, 1.854, 0.945, -0.108
Net-(R34-Pad2), 2, 4, 5, 0, 1.963, 1.797, 0.916, -0.165
P27, 2, 0, 1, 0, 1.983, 2.063, 1.041, 0.081
Z_~BGACK, 4, 1, 4, 0, 2.059, 2.077, 1.009, 0.018
6_A7, 2, 1, 2, 0, 2.060, 1.922, 0.933, -0.138
6_~READY, 2, 2, 3, 0, 2.110, 2.158, 1.023, 0.048
6_A6, 2, 1, 2, 0, 2.110, 1.993, 0.944, -0.117
P42, 2, 2, 3, 0, 2.173, 2.172, 1.000, -0.000
P71, 4, 3, 6, 0, 2.176, 2.194, 1.009, 0.019
Net-(U42-Pad1), 4, 6, 9, 0, 2.239, 2.191, 0.979, -0.048
6_PEREQ, 3, 3, 5, 0, 2.268, 2.173, 0.958, -0.095
Z_~BR, 3, 2, 4, 0, 2.300, 2.239, 0.973, -0.061
Net-(R31-Pad1), 5, 2, 6, 0, 2.403, 2.409, 1.002, 0.006
6_HOLD, 2, 4, 5, 0, 2.410, 2.361, 0.980, -0.049
6_~PEACK, 2, 2, 3, 0, 2.467, 2.782, 1.128, 0.315
Z_D9, 3, 3, 6, 1, 2.468, 2.384, 0.966, -0.084
Z_D2, 3, 1, 3, 0, 2.475, 2.396, 0.968, -0.079
Z_D1, 3, 3, 5, 0, 2.483, 2.422, 0.975, -0.061
Z_D11, 3, 3, 5, 0, 2.487, 2.379, 0.957, -0.108
6_COD\~INTA, 2, 6, 7, 0, 2.491, 2.439, 0.979, -0.051
Z_D3, 3, 3, 5, 0, 2.525, 2.368, 0.938, -0.157
Z_D0, 3, 1, 4, 1, 2.538, 2.361, 0.930, -0.177
P65, 3, 2, 4, 0, 2.565, 2.514, 0.980, -0.052
6_~BHE, 2, 2, 3, 0, 2.574, 2.573, 1.000, -0.001
Net-(U37-Pad2), 2, 1, 2, 0, 2.589, 2.381, 0.920, -0.208
7_RESET, 3, 1, 3, 0, 2.603, 2.781, 1.069, 0.179
6_~BUSY, 2, 4, 5, 0, 2.756, 2.993, 1.086, 0.237
P61, 3, 2, 4, 0, 2.791, 2.810, 1.007, 0.019
6_A20, 2, 3, 4, 0, 2.794, 2.687, 0.962, -0.107
Net-(R34-Pad1), 5, 1, 5, 0, 2.822, 2.889, 1.024, 0.067
Net-(U43-Pad4), 2, 4, 5, 0, 2.876, 2.703, 0.940, -0.173
Z_D8, 3, 0, 3, 1, 2.953, 4.673, 1.583, 1.721
LDC, 3, 2, 4, 0, 2.981, 3.233, 1.085, 0.252
Z_D13, 3, 1, 3, 0, 2.985, 3.587, 1.202, 0.602
Z_D7, 3, 1, 3, 0, 3.125, 2.980, 0.954, -0.145
Z_D14, 3, 0, 2, 0, 3.135, 3.726, 1.188, 0.591
Z_~IPL1, 3, 2, 5, 1, 3.171, 3.024, 0.954, -0.147
Z_~IPL0, 3, 5, 7, 0, 3.184, 3.159, 0.992, -0.025
Z_D10, 3, 3, 5, 0, 3.203, 3.525, 1.101, 0.322
Z_D6, 3, 2, 4, 0, 3.275, 2.897, 0.885, -0.378
7_~BUSY, 3, 0, 2, 0, 3.279, 3.307, 1.009, 0.028
Z_D15, 3, 0, 2, 0, 3.285, 3.901, 1.187, 0.615
P30, 2, 2, 3, 0, 3.305, 3.579, 1.083, 0.274
Z_D12, 3, 1, 3, 0, 3.369, 3.235, 0.960, -0.134
6_A21, 4, 5, 9, 1, 3.411, 3.475, 1.019, 0.064
Z_D5, 3, 1, 3, 0, 3.425, 3.319, 0.969, -0.105
6_A22, 4, 6, 10, 1, 3.514, 3.135, 0.892, -0.379
6_A23, 5, 4, 9, 1, 3.532, 3.486, 0.987, -0.045
P9, 3, 3, 5, 0, 3.582, 3.602, 1.006, 0.020
M_~AS, 4, 1, 4, 0, 3.604, 3.496, 0.970, -0.107
M2, 4, 3, 6, 0, 3.696, 3.600, 0.974, -0.096
6_~S0, 4, 3, 11, 5, 3.707, 3.647, 0.984, -0.060
Z_A4, 5, 5, 10, 1, 3.789, 3.689, 0.974, -0.100
6_M\~IO, 3, 2, 4, 0, 3.827, 3.898, 1.019, 0.071
6_A16, 2, 7, 8, 0, 3.845, 4.020, 1.045, 0.175
7_~ERROR, 3, 4, 7, 1, 3.933, 4.160, 1.058, 0.227
Z_~VPA, 3, 3, 6, 1, 3.962, 4.815, 1.215, 0.852
6_RESET, 3, 4, 6, 0, 3.981, 3.898, 0.979, -0.083
Z_A3, 6, 3, 8, 0, 4.117, 3.953, 0.960, -0.163
7_~NPWR, 2, 2, 3, 0, 4.214, 4.649, 1.103, 0.435
Net-(R39-Pad2), 5, 4, 8, 0, 4.255, 4.527, 1.064, 0.272
7_~NPRD, 2, 4, 5, 0, 4.258, 4.378, 1.028, 0.120
Z_FC1, 3, 6, 9, 1, 4.287, 3.965, 0.925, -0.321
7_NPS2, 3, 2, 4, 0, 4.336, 4.214, 0.972, -0.122
P45, 3, 7, 10, 1, 4.365, 4.149, 0.951, -0.215
